"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","221","Ошибка при регистрации курьера с отправкой неполных данных","tests.couriers","2026-06-09","passed","2026-06-09","TestCreateCourier","test_create_courier","",""
"","467","Успешная авторизация курьера","tests.couriers","2026-06-09","passed","2026-06-09","TestLoginCourier","test_login_courier","",""
"","1238","Ошибка при регистрации курьера с отправкой неполных данных","tests.couriers","2026-06-09","passed","2026-06-09","TestCreateCourier","test_create_courier","",""
"","1932","Ошибка при регистрации существующего курьера","tests.couriers","2026-06-09","passed","2026-06-09","TestCreateCourier","test_create_courier","",""
"","237","Ошибка при авторизации курьера при отправке неполных данных","tests.couriers","2026-06-09","passed","2026-06-09","TestLoginCourier","test_login_courier","",""
"","297","Успешная регистрация нового курьера","tests.couriers","2026-06-09","passed","2026-06-09","TestCreateCourier","test_create_courier","",""
"","222","Ошибка при регистрации курьера с отправкой неполных данных","tests.couriers","2026-06-09","passed","2026-06-09","TestCreateCourier","test_create_courier","",""
"","227","Ошибка при регистрации курьера с отправкой неполных данных","tests.couriers","2026-06-09","passed","2026-06-09","TestCreateCourier","test_create_courier","",""
"","230","Создание заказа","tests.order","2026-06-09","passed","2026-06-09","TestOrder","test_order","",""
"","230","Ошибка при авторизации незарегестрированного курьера или при невалидных логине и/или пароле","tests.couriers","2026-06-09","passed","2026-06-09","TestLoginCourier","test_login_courier","",""
"","461","Ошибка при авторизации курьера при отправке неполных данных","tests.couriers","2026-06-09","passed","2026-06-09","TestLoginCourier","test_login_courier","",""
"","229","Ошибка при авторизации незарегестрированного курьера или при невалидных логине и/или пароле","tests.couriers","2026-06-09","passed","2026-06-09","TestLoginCourier","test_login_courier","",""
"","320","Получение списка заказов","tests.order","2026-06-09","passed","2026-06-09","TestOrder","test_order","",""
"","260","Создание заказа","tests.order","2026-06-09","passed","2026-06-09","TestOrder","test_order","",""
"","225","Создание заказа","tests.order","2026-06-09","passed","2026-06-09","TestOrder","test_order","",""
"","240","Ошибка при регистрации курьера с отправкой неполных данных","tests.couriers","2026-06-09","passed","2026-06-09","TestCreateCourier","test_create_courier","",""
"","233","Ошибка при авторизации курьера при отправке неполных данных","tests.couriers","2026-06-09","passed","2026-06-09","TestLoginCourier","test_login_courier","",""
"","233","Ошибка при авторизации незарегестрированного курьера или при невалидных логине и/или пароле","tests.couriers","2026-06-09","passed","2026-06-09","TestLoginCourier","test_login_courier","",""
"","225","Создание заказа","tests.order","2026-06-09","passed","2026-06-09","TestOrder","test_order","",""
